,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
15,33,39,.458,9.0,111.1,112.8,-1.58,2012,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,2012,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,2012,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,2013,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,2013,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,2013,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,2013,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,2013,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,2013,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2013,Central Division
7,46,26,.639,—,120.1,114.2,5.57,2013,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,2013,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,2013,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,2013,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,2013,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2013,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,2013,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,2013,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,2013,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,2013,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,2013,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2013,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,2013,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,2013,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,2013,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,2013,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,2013,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2013,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,2013,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,2013,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,2013,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,2013,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,2013,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2013,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,2013,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,2013,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,2013,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,2013,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,2013,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,2014,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,2014,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,2014,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,2014,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,2014,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,2014,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2014,Central Division
7,46,26,.639,—,120.1,114.2,5.57,2014,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,2014,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,2014,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,2014,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,2014,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2014,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,2014,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,2014,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,2014,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,2014,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,2014,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2014,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,2014,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,2014,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,2014,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,2014,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,2014,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2014,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,2014,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,2014,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,2014,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,2014,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,2014,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2014,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,2014,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,2014,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,2014,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,2014,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,2014,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,2015,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,2015,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,2015,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,2015,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,2015,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,2015,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2015,Central Division
7,46,26,.639,—,120.1,114.2,5.57,2015,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,2015,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,2015,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,2015,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,2015,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2015,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,2015,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,2015,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,2015,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,2015,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,2015,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2015,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,2015,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,2015,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,2015,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,2015,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,2015,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2015,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,2015,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,2015,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,2015,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,2015,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,2015,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2015,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,2015,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,2015,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,2015,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,2015,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,2015,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,2016,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,2016,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,2016,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,2016,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,2016,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,2016,Toronto Raptors
